Date,City,Category,Product,Units_Sold,Unit_Price,Revenue
2024-08-05,Hyderabad,Electronics,T-Shirt,17,1742,29614
2024-02-13,Hyderabad,Personal Care,Shampoo,2,602,1204
2024-06-10,Bengaluru,Electronics,Rice,8,989,7912
2024-07-20,Bengaluru,Groceries,Phone,7,1858,13006
2024-09-26,Bengaluru,Electronics,T-Shirt,15,691,10365
2024-12-16,Bengaluru,Electronics,Phone,5,845,4225
2024-10-30,Chennai,Personal Care,Laptop,2,1504,3008
2024-09-27,Bengaluru,Home,Phone,7,1819,12733
2024-08-02,Chennai,Groceries,Laptop,8,527,4216
2024-09-08,Chennai,Personal Care,Rice,7,796,5572
2024-07-08,Bengaluru,Electronics,Bed,7,745,5215
2024-10-22,Mumbai,Electronics,Laptop,14,831,11634
2024-07-31,Delhi,Home,Sofa,18,899,16182
2024-07-26,Hyderabad,Groceries,Oil,6,463,2778
2024-08-24,Chennai,Groceries,Oil,4,301,1204
2024-12-03,Delhi,Apparel,Jeans,10,981,9810
2024-02-22,Mumbai,Groceries,Oil,18,245,4410
2024-10-06,Hyderabad,Home,Jeans,12,935,11220
2024-08-04,Hyderabad,Apparel,Oil,16,738,11808
2024-09-08,Chennai,Apparel,Laptop,7,1580,11060
2024-07-06,Bengaluru,Electronics,Sofa,6,234,1404
2024-02-10,Mumbai,Electronics,Bed,5,725,3625
2024-06-05,Chennai,Groceries,Phone,3,1387,4161
2024-01-15,Mumbai,Apparel,Shampoo,12,163,1956
2024-10-27,Bengaluru,Electronics,Oil,15,590,8850
2024-03-05,Bengaluru,Home,Bed,10,1770,17700
2024-12-10,Chennai,Electronics,Bed,19,140,2660
2024-11-22,Bengaluru,Electronics,Laptop,16,1419,22704
2024-01-09,Delhi,Apparel,Rice,11,1126,12386
2024-12-09,Hyderabad,Apparel,Rice,8,1012,8096
2024-05-08,Chennai,Personal Care,Oil,3,1829,5487
2024-05-15,Mumbai,Home,Shampoo,7,1074,7518
2024-03-03,Delhi,Apparel,Oil,7,1233,8631
2024-05-18,Chennai,Groceries,Oil,14,1344,18816
2024-03-21,Bengaluru,Home,Jeans,2,1493,2986
2024-06-11,Bengaluru,Home,Sofa,10,467,4670
2024-10-15,Bengaluru,Apparel,Sofa,19,1559,29621
2024-09-17,Bengaluru,Home,Shampoo,9,1017,9153
2024-08-18,Mumbai,Apparel,Jeans,16,1127,18032
2024-02-10,Delhi,Electronics,Bed,19,343,6517
2024-01-28,Hyderabad,Personal Care,Jeans,18,1001,18018
2024-05-14,Mumbai,Electronics,Oil,9,265,2385
2024-07-19,Mumbai,Apparel,Rice,16,1149,18384
2024-11-23,Hyderabad,Apparel,T-Shirt,13,1518,19734
2024-09-24,Hyderabad,Electronics,Shampoo,10,1597,15970
2024-02-02,Bengaluru,Groceries,Bed,14,1140,15960
2024-02-17,Mumbai,Groceries,Laptop,12,827,9924
2024-03-02,Chennai,Groceries,T-Shirt,19,1215,23085
2024-08-03,Hyderabad,Apparel,T-Shirt,7,582,4074
2024-10-19,Hyderabad,Home,Jeans,15,642,9630
2024-04-08,Delhi,Apparel,Phone,16,1328,21248
2024-06-20,Chennai,Home,T-Shirt,8,1625,13000
2024-12-25,Chennai,Electronics,Oil,10,1030,10300
2024-08-01,Hyderabad,Personal Care,Soap,4,499,1996
2024-02-04,Bengaluru,Home,Rice,19,1330,25270
2024-08-14,Delhi,Groceries,Rice,19,718,13642
2024-04-10,Chennai,Apparel,Soap,15,1269,19035
2024-05-10,Hyderabad,Electronics,Sofa,14,978,13692
2024-09-13,Chennai,Groceries,Oil,1,200,200
2024-01-05,Delhi,Electronics,Laptop,16,979,15664
2024-08-05,Delhi,Personal Care,T-Shirt,10,929,9290
2024-09-11,Mumbai,Apparel,Sofa,19,1364,25916
2024-12-24,Hyderabad,Apparel,Oil,3,858,2574
2024-10-09,Delhi,Personal Care,Jeans,5,262,1310
2024-07-25,Mumbai,Apparel,Rice,9,1296,11664
2024-01-15,Mumbai,Home,Sofa,18,601,10818
2024-12-11,Chennai,Electronics,Shampoo,11,646,7106
2024-02-11,Chennai,Groceries,T-Shirt,16,1407,22512
2024-06-27,Mumbai,Personal Care,T-Shirt,2,1482,2964
2024-03-03,Chennai,Home,Laptop,12,480,5760
2024-12-17,Delhi,Groceries,Phone,6,969,5814
2024-08-18,Bengaluru,Groceries,Shampoo,11,1004,11044
2024-08-28,Delhi,Personal Care,T-Shirt,8,1656,13248
2024-02-21,Mumbai,Home,Bed,12,1943,23316
2024-04-05,Mumbai,Groceries,Shampoo,2,1286,2572
2024-08-09,Delhi,Groceries,T-Shirt,9,1101,9909
2024-08-18,Chennai,Home,Soap,15,708,10620
2024-08-24,Chennai,Apparel,Shampoo,2,406,812
2024-05-22,Mumbai,Groceries,Oil,1,1462,1462
2024-06-19,Hyderabad,Electronics,Shampoo,10,154,1540
2024-01-29,Chennai,Home,Laptop,2,1082,2164
2024-02-05,Delhi,Groceries,Jeans,12,432,5184
2024-01-13,Chennai,Personal Care,Jeans,8,226,1808
2024-06-08,Delhi,Electronics,Jeans,5,804,4020
2024-11-22,Mumbai,Groceries,Oil,1,342,342
2024-07-05,Chennai,Electronics,Sofa,15,1984,29760
2024-08-30,Delhi,Electronics,Jeans,6,699,4194
2024-03-26,Mumbai,Apparel,Rice,12,1971,23652
2024-10-10,Hyderabad,Electronics,Oil,8,1532,12256
2024-03-06,Delhi,Apparel,Sofa,13,602,7826
2024-06-18,Hyderabad,Home,Rice,19,1850,35150
2024-02-14,Hyderabad,Apparel,Rice,1,703,703
2024-03-02,Bengaluru,Personal Care,Rice,11,402,4422
2024-05-13,Chennai,Groceries,Bed,1,1587,1587
2024-10-10,Delhi,Home,Laptop,8,334,2672
2024-01-28,Hyderabad,Home,Laptop,5,1819,9095
2024-04-17,Bengaluru,Personal Care,Oil,17,1161,19737
2024-02-13,Mumbai,Apparel,Rice,8,238,1904
2024-12-05,Delhi,Groceries,Soap,10,294,2940
2024-10-12,Hyderabad,Apparel,Shampoo,2,1650,3300
2024-11-26,Chennai,Electronics,Sofa,9,1892,17028
2024-05-07,Bengaluru,Apparel,Laptop,3,746,2238
2024-12-13,Hyderabad,Home,Jeans,18,100,1800
2024-08-18,Chennai,Groceries,Oil,7,660,4620
2024-07-08,Hyderabad,Apparel,Sofa,15,1219,18285
2024-08-12,Delhi,Groceries,Oil,18,812,14616
2024-10-09,Delhi,Groceries,Soap,3,512,1536
2024-04-30,Delhi,Electronics,Bed,14,637,8918
2024-04-25,Bengaluru,Electronics,Bed,2,1978,3956
2024-08-20,Delhi,Home,Rice,14,528,7392
2024-09-15,Chennai,Personal Care,Bed,11,334,3674
2024-12-24,Hyderabad,Groceries,Oil,16,448,7168
2024-07-16,Mumbai,Personal Care,Jeans,8,1879,15032
2024-05-16,Chennai,Home,Rice,7,1993,13951
2024-11-13,Chennai,Groceries,T-Shirt,11,1604,17644
2024-06-13,Delhi,Groceries,Sofa,3,1962,5886
2024-08-12,Bengaluru,Personal Care,Soap,17,495,8415
2024-11-02,Hyderabad,Apparel,Rice,14,1474,20636
2024-08-21,Bengaluru,Electronics,Oil,6,515,3090
2024-06-20,Hyderabad,Apparel,Sofa,8,1015,8120
2024-05-31,Hyderabad,Personal Care,Jeans,5,1174,5870
2024-11-10,Bengaluru,Electronics,Phone,8,180,1440
2024-06-08,Chennai,Apparel,Soap,2,135,270
2024-04-05,Hyderabad,Electronics,Oil,15,1190,17850
2024-08-20,Bengaluru,Groceries,Soap,12,740,8880
2024-06-28,Hyderabad,Apparel,Laptop,17,981,16677
2024-04-22,Mumbai,Electronics,Phone,1,1790,1790
2024-11-13,Chennai,Electronics,Sofa,15,856,12840
2024-02-21,Delhi,Electronics,Bed,14,722,10108
2024-09-24,Hyderabad,Apparel,Oil,16,1803,28848
2024-10-21,Mumbai,Home,Soap,9,1604,14436
2024-04-22,Delhi,Apparel,Sofa,1,567,567
2024-04-10,Delhi,Personal Care,Bed,17,1265,21505
2024-04-22,Hyderabad,Apparel,Jeans,13,455,5915
2024-03-21,Bengaluru,Electronics,Jeans,5,808,4040
2024-07-05,Hyderabad,Groceries,Soap,10,1594,15940
2024-04-22,Mumbai,Apparel,Rice,6,1744,10464
2024-01-02,Delhi,Apparel,Laptop,19,1119,21261
2024-05-09,Hyderabad,Electronics,Rice,13,1714,22282
2024-08-07,Bengaluru,Groceries,Laptop,1,1001,1001
2024-02-23,Hyderabad,Groceries,Oil,15,772,11580
2024-12-08,Chennai,Personal Care,T-Shirt,14,538,7532
2024-08-11,Bengaluru,Apparel,Soap,8,630,5040
2024-08-12,Mumbai,Groceries,Shampoo,10,226,2260
2024-05-05,Delhi,Groceries,Soap,9,304,2736
2024-05-09,Hyderabad,Home,Phone,17,128,2176
2024-02-22,Bengaluru,Home,Bed,9,544,4896
2024-06-20,Chennai,Groceries,Phone,3,1065,3195
2024-08-05,Bengaluru,Personal Care,Jeans,11,1842,20262
2024-06-08,Chennai,Groceries,Laptop,12,563,6756
2024-07-16,Mumbai,Electronics,Bed,10,1403,14030
2024-09-03,Delhi,Apparel,Jeans,17,250,4250
2024-11-19,Mumbai,Personal Care,Bed,17,339,5763
2024-07-21,Hyderabad,Electronics,Rice,11,365,4015
2024-07-02,Bengaluru,Personal Care,Jeans,4,1817,7268
2024-05-02,Chennai,Electronics,Rice,7,1228,8596
2024-09-11,Chennai,Apparel,Rice,14,1556,21784
2024-10-20,Bengaluru,Apparel,Bed,7,1012,7084
2024-10-06,Bengaluru,Home,Sofa,8,596,4768
2024-11-20,Hyderabad,Electronics,Phone,1,1563,1563
2024-04-07,Mumbai,Home,Jeans,4,1871,7484
2024-07-16,Chennai,Electronics,Shampoo,12,784,9408
2024-08-27,Hyderabad,Home,Sofa,3,257,771
2024-05-23,Mumbai,Apparel,Phone,13,271,3523
2024-04-06,Hyderabad,Personal Care,Jeans,6,593,3558
2024-07-19,Chennai,Home,Laptop,11,1069,11759
2024-05-03,Bengaluru,Electronics,Phone,4,1434,5736
2024-07-05,Bengaluru,Electronics,Shampoo,16,1526,24416
2024-11-21,Mumbai,Apparel,Soap,7,1792,12544
2024-12-14,Delhi,Electronics,Oil,11,1893,20823
2024-09-15,Mumbai,Groceries,Rice,1,775,775
2024-05-27,Delhi,Personal Care,Oil,7,758,5306
2024-09-08,Hyderabad,Home,Sofa,12,1002,12024
2024-12-11,Hyderabad,Personal Care,Soap,7,765,5355
2024-05-26,Chennai,Apparel,Rice,7,1586,11102
2024-05-27,Delhi,Home,Jeans,10,466,4660
2024-12-17,Chennai,Home,Sofa,16,649,10384
2024-07-17,Bengaluru,Groceries,Shampoo,8,742,5936
2024-11-03,Delhi,Apparel,Bed,9,1993,17937
2024-05-07,Mumbai,Electronics,Jeans,9,354,3186
2024-02-08,Bengaluru,Groceries,Phone,2,307,614
2024-12-03,Bengaluru,Groceries,Bed,13,549,7137
2024-12-25,Mumbai,Personal Care,Sofa,13,194,2522
2024-05-08,Bengaluru,Personal Care,Phone,4,1983,7932
2024-09-23,Delhi,Personal Care,Shampoo,12,938,11256
2024-05-30,Chennai,Groceries,Oil,17,577,9809
2024-10-24,Bengaluru,Electronics,Phone,2,782,1564
2024-04-08,Delhi,Home,Oil,13,861,11193
2024-09-19,Hyderabad,Personal Care,Rice,18,289,5202
2024-09-08,Delhi,Electronics,Laptop,15,810,12150
2024-05-23,Chennai,Apparel,T-Shirt,8,1607,12856
2024-12-11,Delhi,Personal Care,Jeans,15,1856,27840
2024-04-21,Mumbai,Home,T-Shirt,1,1659,1659
2024-02-29,Chennai,Apparel,Rice,10,855,8550
2024-01-02,Hyderabad,Apparel,Phone,12,1546,18552
2024-10-30,Mumbai,Home,Rice,5,935,4675
2024-09-10,Delhi,Personal Care,T-Shirt,9,1763,15867
2024-05-19,Chennai,Groceries,T-Shirt,8,1728,13824
2024-02-06,Hyderabad,Home,Jeans,16,1935,30960
2024-06-08,Mumbai,Home,Bed,14,232,3248
2024-01-09,Hyderabad,Home,Soap,13,154,2002
2024-08-20,Delhi,Apparel,Rice,13,609,7917
2024-04-08,Hyderabad,Electronics,Laptop,5,769,3845
2024-05-26,Bengaluru,Groceries,Soap,16,1664,26624
2024-10-30,Mumbai,Personal Care,Rice,11,509,5599
2024-07-26,Hyderabad,Personal Care,Shampoo,5,1334,6670
2024-05-10,Delhi,Electronics,Sofa,13,1789,23257
2024-05-31,Delhi,Home,Sofa,11,1416,15576
2024-02-23,Hyderabad,Groceries,T-Shirt,19,1086,20634
2024-04-29,Delhi,Personal Care,Sofa,3,833,2499
2024-06-09,Chennai,Personal Care,Oil,15,1238,18570
2024-04-25,Chennai,Home,Laptop,7,1793,12551
2024-03-15,Chennai,Electronics,Sofa,7,358,2506
2024-04-22,Bengaluru,Groceries,Phone,6,1886,11316
2024-04-13,Hyderabad,Electronics,Oil,3,1245,3735
2024-12-05,Bengaluru,Electronics,Soap,13,398,5174
2024-09-10,Delhi,Groceries,Oil,7,1898,13286
2024-08-14,Bengaluru,Groceries,Rice,5,1504,7520
2024-04-21,Delhi,Personal Care,T-Shirt,18,660,11880
2024-04-08,Delhi,Personal Care,Jeans,8,1964,15712
2024-06-01,Mumbai,Groceries,Jeans,17,1624,27608
2024-12-14,Chennai,Apparel,Shampoo,1,396,396
2024-12-03,Delhi,Personal Care,Laptop,14,461,6454
2024-07-12,Mumbai,Apparel,Rice,17,688,11696
2024-11-05,Chennai,Groceries,Jeans,10,1586,15860
2024-06-11,Delhi,Personal Care,T-Shirt,12,1561,18732
2024-07-26,Delhi,Electronics,Soap,16,226,3616
2024-06-17,Bengaluru,Groceries,Jeans,14,296,4144
2024-06-09,Bengaluru,Home,Phone,16,320,5120
2024-03-08,Chennai,Apparel,Oil,8,1094,8752
2024-10-15,Delhi,Groceries,Jeans,10,190,1900
2024-10-03,Hyderabad,Groceries,Rice,17,510,8670
2024-10-30,Bengaluru,Personal Care,Sofa,18,107,1926
2024-05-14,Chennai,Personal Care,Sofa,16,643,10288
2024-07-13,Delhi,Personal Care,Soap,17,567,9639
2024-05-07,Delhi,Home,Sofa,16,419,6704
2024-02-02,Hyderabad,Personal Care,Soap,19,1517,28823
2024-06-24,Chennai,Groceries,Rice,8,368,2944
2024-01-22,Delhi,Personal Care,Laptop,6,1314,7884
2024-08-25,Bengaluru,Electronics,Sofa,6,1984,11904
2024-06-06,Hyderabad,Personal Care,Shampoo,9,1798,16182
2024-02-07,Chennai,Home,T-Shirt,4,160,640
2024-08-17,Hyderabad,Electronics,Oil,12,1561,18732
2024-12-30,Bengaluru,Groceries,Sofa,12,1387,16644
2024-02-20,Chennai,Groceries,Soap,17,896,15232
2024-09-20,Hyderabad,Apparel,Rice,15,1218,18270
2024-10-09,Mumbai,Electronics,Sofa,9,652,5868
2024-01-27,Bengaluru,Apparel,Jeans,7,1025,7175
2024-08-13,Bengaluru,Electronics,Sofa,10,1593,15930
2024-10-03,Bengaluru,Electronics,Soap,16,760,12160
2024-10-12,Mumbai,Home,Phone,12,815,9780
2024-04-06,Mumbai,Apparel,Phone,7,878,6146
2024-10-10,Delhi,Home,Sofa,18,1637,29466
2024-11-12,Hyderabad,Electronics,Oil,15,1813,27195
2024-10-30,Delhi,Groceries,Rice,6,293,1758
2024-05-26,Hyderabad,Electronics,Shampoo,12,581,6972
2024-01-04,Mumbai,Home,Shampoo,11,1459,16049
2024-02-04,Mumbai,Apparel,Sofa,3,1558,4674
2024-07-10,Delhi,Apparel,Sofa,2,1319,2638
2024-02-18,Chennai,Home,Phone,6,954,5724
2024-01-17,Delhi,Apparel,Soap,5,1372,6860
2024-06-20,Hyderabad,Personal Care,Oil,18,597,10746
2024-08-07,Delhi,Groceries,Sofa,16,311,4976
2024-06-06,Bengaluru,Groceries,Shampoo,8,764,6112
2024-02-15,Hyderabad,Groceries,Rice,11,769,8459
2024-01-06,Hyderabad,Apparel,Laptop,10,1589,15890
2024-04-08,Chennai,Apparel,Jeans,12,1997,23964
2024-08-20,Mumbai,Electronics,Sofa,6,1774,10644
2024-02-06,Hyderabad,Electronics,Soap,5,320,1600
2024-10-06,Mumbai,Groceries,Sofa,9,372,3348
2024-12-14,Delhi,Personal Care,Soap,16,1277,20432
2024-10-28,Bengaluru,Electronics,Oil,14,1372,19208
2024-06-29,Chennai,Electronics,Laptop,8,378,3024
2024-04-04,Mumbai,Apparel,T-Shirt,19,1563,29697
2024-04-08,Hyderabad,Personal Care,Rice,14,915,12810
2024-07-06,Mumbai,Groceries,Rice,7,375,2625
2024-04-25,Hyderabad,Electronics,Soap,5,1104,5520
2024-07-09,Mumbai,Personal Care,Phone,18,613,11034
2024-09-09,Hyderabad,Personal Care,Soap,2,1211,2422
2024-06-09,Delhi,Groceries,Phone,11,1922,21142
2024-09-12,Hyderabad,Personal Care,Bed,8,1022,8176
2024-11-18,Hyderabad,Personal Care,Shampoo,1,741,741
2024-05-07,Bengaluru,Personal Care,Rice,12,604,7248
2024-01-18,Hyderabad,Electronics,Oil,2,689,1378
2024-10-07,Bengaluru,Groceries,Soap,18,871,15678
2024-08-10,Chennai,Personal Care,Oil,7,1364,9548
2024-02-23,Bengaluru,Personal Care,Laptop,17,1776,30192
2024-02-27,Delhi,Electronics,Oil,14,839,11746
2024-11-18,Bengaluru,Groceries,Sofa,7,774,5418
2024-12-25,Chennai,Apparel,Shampoo,3,1359,4077
2024-06-22,Delhi,Electronics,Sofa,6,1113,6678
2024-10-06,Mumbai,Groceries,Jeans,2,227,454
2024-04-23,Mumbai,Personal Care,Soap,17,602,10234
2024-10-14,Bengaluru,Groceries,Rice,12,1323,15876
2024-12-07,Bengaluru,Groceries,Soap,12,1001,12012
2024-05-30,Chennai,Groceries,Shampoo,17,642,10914
2024-05-06,Chennai,Apparel,T-Shirt,10,1625,16250
2024-06-03,Hyderabad,Groceries,T-Shirt,3,1773,5319
2024-09-29,Chennai,Apparel,Jeans,18,591,10638
2024-04-13,Hyderabad,Personal Care,Shampoo,13,1144,14872
2024-10-25,Delhi,Apparel,Bed,12,1357,16284
2024-09-02,Bengaluru,Personal Care,Bed,17,813,13821
2024-06-24,Delhi,Personal Care,Bed,4,890,3560
2024-02-08,Chennai,Apparel,Rice,10,1766,17660
2024-06-18,Delhi,Electronics,Rice,11,515,5665
2024-09-03,Delhi,Home,Bed,6,247,1482
2024-01-26,Delhi,Groceries,T-Shirt,6,1069,6414
2024-12-20,Chennai,Home,Shampoo,9,128,1152
2024-11-01,Delhi,Groceries,Oil,15,1484,22260
2024-01-13,Hyderabad,Groceries,Shampoo,2,407,814
2024-11-11,Chennai,Personal Care,Bed,4,261,1044
2024-11-08,Delhi,Groceries,Shampoo,5,968,4840
2024-02-05,Chennai,Groceries,Laptop,17,951,16167
2024-06-21,Mumbai,Apparel,Rice,8,160,1280
2024-01-20,Hyderabad,Home,Rice,8,224,1792
2024-11-16,Delhi,Apparel,T-Shirt,12,1579,18948
2024-09-20,Mumbai,Groceries,Oil,8,1194,9552
2024-05-21,Mumbai,Personal Care,Bed,19,937,17803
2024-05-22,Chennai,Apparel,Soap,3,1999,5997
2024-04-01,Mumbai,Apparel,T-Shirt,18,565,10170
2024-12-19,Hyderabad,Electronics,T-Shirt,19,342,6498
2024-11-17,Hyderabad,Groceries,Oil,19,1613,30647
2024-10-14,Bengaluru,Personal Care,Sofa,15,1884,28260
2024-08-02,Hyderabad,Apparel,Bed,6,1344,8064
2024-12-07,Mumbai,Apparel,Soap,16,572,9152
2024-02-20,Hyderabad,Personal Care,Rice,8,1058,8464
2024-06-01,Chennai,Groceries,Oil,16,632,10112
2024-07-04,Bengaluru,Electronics,Soap,18,593,10674
2024-03-03,Mumbai,Apparel,Laptop,16,998,15968
2024-07-08,Bengaluru,Electronics,T-Shirt,11,181,1991
2024-05-04,Mumbai,Home,Oil,7,955,6685
2024-05-29,Chennai,Groceries,Rice,17,978,16626
2024-11-09,Bengaluru,Home,Shampoo,17,1645,27965
2024-02-27,Delhi,Home,Rice,12,1022,12264
2024-12-07,Mumbai,Home,Laptop,13,111,1443
2024-10-31,Delhi,Groceries,Oil,10,1386,13860
2024-06-28,Bengaluru,Groceries,Laptop,7,1780,12460
2024-06-18,Delhi,Personal Care,Bed,14,548,7672
2024-11-21,Delhi,Electronics,Bed,1,1315,1315
2024-09-27,Bengaluru,Electronics,Shampoo,17,861,14637
2024-02-23,Chennai,Personal Care,T-Shirt,4,1237,4948
2024-04-10,Delhi,Personal Care,Sofa,5,125,625
2024-09-20,Delhi,Home,Phone,7,1906,13342
2024-02-22,Chennai,Personal Care,Soap,10,1622,16220
2024-02-29,Delhi,Apparel,Laptop,17,607,10319
2024-04-17,Delhi,Electronics,Soap,7,1668,11676
2024-01-05,Delhi,Personal Care,Shampoo,1,161,161
2024-04-12,Hyderabad,Apparel,Soap,7,328,2296
2024-07-14,Chennai,Apparel,Soap,11,1938,21318
2024-09-18,Delhi,Apparel,Rice,9,706,6354
2024-12-30,Chennai,Apparel,Oil,12,1158,13896
2024-12-15,Mumbai,Home,T-Shirt,3,1828,5484
2024-02-16,Mumbai,Apparel,Phone,4,1579,6316
2024-12-20,Delhi,Home,Oil,4,1711,6844
2024-11-06,Chennai,Home,Rice,13,990,12870
2024-11-03,Chennai,Apparel,Soap,19,1625,30875
2024-05-23,Chennai,Electronics,Phone,10,860,8600
2024-09-25,Hyderabad,Apparel,Rice,5,694,3470
2024-05-03,Mumbai,Apparel,Rice,7,1148,8036
2024-04-15,Chennai,Apparel,Rice,16,1692,27072
2024-06-06,Chennai,Electronics,Bed,1,1155,1155
2024-05-26,Hyderabad,Groceries,Phone,12,1954,23448
2024-05-24,Hyderabad,Groceries,Rice,2,1135,2270
2024-04-29,Chennai,Home,Sofa,7,1442,10094
2024-11-14,Bengaluru,Home,Soap,11,1968,21648
2024-10-01,Chennai,Electronics,Phone,13,1727,22451
2024-04-01,Chennai,Personal Care,Bed,2,100,200
2024-02-27,Hyderabad,Groceries,Laptop,7,1558,10906
2024-12-11,Hyderabad,Home,Laptop,15,1961,29415
2024-08-16,Chennai,Groceries,T-Shirt,11,1259,13849
2024-04-26,Chennai,Electronics,Jeans,2,1319,2638
2024-11-13,Chennai,Electronics,Sofa,7,232,1624
2024-10-05,Hyderabad,Personal Care,Laptop,4,185,740
2024-05-06,Chennai,Personal Care,Bed,11,1599,17589
2024-05-08,Chennai,Electronics,Jeans,2,1930,3860
2024-02-27,Delhi,Home,Rice,16,1914,30624
2024-05-01,Bengaluru,Groceries,Rice,7,1447,10129
2024-01-01,Mumbai,Apparel,Shampoo,13,1303,16939
2024-08-26,Bengaluru,Personal Care,Soap,5,615,3075
2024-10-16,Delhi,Apparel,Jeans,17,1761,29937
2024-04-05,Mumbai,Home,Soap,12,274,3288
2024-05-05,Chennai,Personal Care,Bed,19,862,16378
2024-04-27,Delhi,Apparel,Sofa,7,1144,8008
2024-02-17,Chennai,Home,Jeans,6,1096,6576
2024-03-29,Hyderabad,Groceries,Laptop,8,1228,9824
2024-08-24,Delhi,Home,Sofa,13,677,8801
2024-09-28,Hyderabad,Personal Care,Shampoo,5,1566,7830
2024-07-07,Delhi,Electronics,Soap,2,1898,3796
2024-07-10,Delhi,Groceries,Soap,9,148,1332
2024-03-09,Hyderabad,Apparel,Sofa,11,627,6897
2024-10-04,Mumbai,Personal Care,Rice,6,244,1464
2024-12-14,Bengaluru,Electronics,Soap,7,1463,10241
2024-09-03,Chennai,Home,Shampoo,7,861,6027
2024-03-16,Delhi,Electronics,Laptop,19,1978,37582
2024-06-02,Chennai,Personal Care,Phone,6,1477,8862
